"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
Iridium 81 (Iridium SV081),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-09-08T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051B,25468,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",251
Iridium 83 (Iridium SV083),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-11-06T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066E,25531,,310
Iridium 84 (Iridium SV084),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-11-06T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066D,25530,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",310
Iridium 86 (Iridium SV086),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-11-06T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066B,25528,Operational,310
Iridium 90 (Iridium SV090),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,50,2002-02-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005B,27373,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",42
Iridium 91 (Iridium SV091),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,744,753,6.32E-04,86.4,99.8,689,556,50,2002-02-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",42
Iridium 94 (Iridium SV094),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,773,782,6.30E-04,86.4,100.4,689,556,50,2002-02-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005C,27374,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",42
Iridium 95 (Iridium SV095),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,2002-02-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005D,27375,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",42
Iridium 96 (Iridium SV096),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,745,754,6.32E-04,87.2,99.8,689,556,50,2002-02-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",42
Iridium 97 (Iridium SV097),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,777,778,7.00E-05,86.4,100.4,689,556,50,2002-06-20T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031A,27450,"Spare; stored in 670 km storage orbit, not raised to 780 km operational orbit until needed",171
Iridium 98 (Iridium SV098),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,748,750,1.40E-04,86.4,99.8,689,556,50,2002-06-20T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451,Operational,171
Iridium Next SV 102,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,621,8.59E-04,86.6,97,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003D,41920,Next generation expected to last to 2030,14
Iridium Next SV 103,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,623,9.30E-04,86.6,97,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003B,41918,Next generation expected to last to 2030,14
Iridium Next SV 104,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002147,86.6,96.9,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003F,41922,Next generation expected to last to 2030,14
Iridium Next SV 105,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002147,86.6,97,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003E,41921,Next generation expected to last to 2030,14
Iridium Next SV 106,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,701,704,2.12E-04,86.5,98.8,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003A,41917,Next generation expected to last to 2030,14
Iridium Next SV 108,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002147,86.6,96.9,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003H,41924,Next generation expected to last to 2030,14
Iridium Next SV 109,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,610,622,8.59E-04,86.6,97,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003C,41919,Next generation expected to last to 2030,14
Iridium Next SV 111,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,622,0.001073806,86.6,96.9,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003K,41926,Next generation expected to last to 2030,14
Iridium Next SV 112,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,622,0.001073806,86.6,96.9,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003J,41925,Next generation expected to last to 2030,14
Iridium Next SV 113,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,0.001216806,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039A,42803,Next generation expected to last to 2030,176
Iridium Next SV 114,USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,622,0.001002147,86.6,96.9,860,678,50,2017-01-14T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-003G,41923,Next generation expected to last to 2030,14
Iridium Next SV 115,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,0.00121698,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039D,42806,Next generation expected to last to 2030,176
Iridium Next SV 117,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,0.00121698,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039F,42808,Next generation expected to last to 2030,176
Iridium Next SV 118,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,0.001216632,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039E,42807,Next generation expected to last to 2030,176
Iridium Next SV 120,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,0.001216806,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039C,42805,Next generation expected to last to 2030,176
Iridium Next SV 121,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,0.001216632,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039K,42812,Next generation expected to last to 2030,176
Iridium Next SV 123,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,607,624,0.001216806,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039B,42804,Next generation expected to last to 2030,176
Iridium Next SV 124,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,608,625,0.001216632,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039H,42810,Next generation expected to last to 2030,176
Iridium Next SV 126,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,606,623,0.00121698,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039G,42809,Next generation expected to last to 2030,176
Iridium Next SV 128,NR (10/17),USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,609,625,0.001144984,86.6,97,860,678,50,2017-06-25T00:00,15 yrs.,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039J,42811,Next generation expected to last to 2030,176
IRIS (Interface Region Imaging Spectrometer),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,Sun-Synchronous,0,620,664,0.003137479,97.9,97.5,236,678,50,2013-06-28T00:00,2 yrs.,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197,"Investigate the sun's corona, solar wind and atmosphere",179
IRNSS-1A (Indian Regional Navigation Satellite System),India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,0.001897443,27.1,1436,"1,425",614,"1,660",2013-07-01T00:00,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199,First of a seven-satellite system.,182
IRNSS-1B (Indian Regional Navigation Satellite System),India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,0.002194153,30.97,1436.14,"1,432",615,"1,660",2014-04-04T00:00,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635,,94
IRNSS-1C (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,0.002147068,4.96,1435.8,"1,425",598,"1,660",2014-10-15T00:00,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269,,288
IRNSS-1D (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,0.001601937,30.04,1435.06,"1,425",598,"1,600",2015-03-30T00:00,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547,,89
IRNSS-1E (Indian Regional Navigation Satellite System),NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,0.002123142,28.09,1436.01,"1,425",598,"1,600",2016-01-20T00:00,12 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241,,20
IRNSS-1F (Indian Regional Navigation Satellite System),NR (12/16),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,0.002063714,5.09,1436.13,"1,425",598,"1,600",2016-03-10T00:00,12 yrs.,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384,,70
IRNSS-1G (Indian Regional Navigation Satellite System),NR (12/16),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,2.73E-04,5.06,1436.05,"1,425",598,"1,600",2016-04-28T00:00,12 yrs.,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469,Final satellite in the seven-satellite regional system.,119
IRS-P6 (Resourcesat-1) ,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,4.17E-04,98.8,101.3,"1,360",,"1,200",2003-10-17T00:00,5 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051,"Monitor agricultural, land, and water resources.",290
ITF-2 (Tsukuba Oscar 89),NR (1/17),Japan,University of Tsukuba,Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,1,,,2017-01-16T00:00,,University of Tsukuba Satellite Project,Japan,International Space Station,J-SSOD Deployer,1998-067KU,41932,Student built.,16
ITU-pSAT1 (Istanbul Technical University Picosat-1),NR,Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,,LEO,Sun-Synchronous,0,710,721,7.76E-04,98.4,99.1,1,,,2009-09-23T00:00,1 yr.,ITU Space Systems Design & Test Laboratory,Turkey,Satish Dhawan Space Centre,PSLV,2009-051E,35935,"Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of İTÜ Astronautics Department.",266
Jason 2 ,France,USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1332,1344,7.78E-04,66,112.4,553,510,500,2008-06-20T00:00,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105,Monitor sea surface level and wave heights.,172
Jason 3,NR (12/16),USA/France,National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1301,1324,0.001496909,66,111.8,553,510,500,2016-01-17T00:00,5 yrs.,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240,Monitor sea surface level and wave heights.,17
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,127.51,35772,35801,3.44E-04,1.19,1436.1,"4,400","1,858",,2006-08-11T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272,"30 Ku-band, 12 C-band transponders.",223
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110.1,35784,35789,5.93E-05,0.01,1436.11,"3,531","1,669","7,200 (EOL)",2000-10-07T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.,281
JCSat 13 (Japan Communications Satellite 13),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,124,35780,35791,1.30E-04,0.05,1436.03,"4,500",,,2012-05-15T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023A,38331,44 Ku-band transponders.,136
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",NR (12/16),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35861,35924,7.45E-04,0.02,1441.5,"4,500",,,2016-05-06T00:00,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-028A,41471,,127
JCSat 15,NR (1/17),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110,35721,35774,6.29E-04,0,1434.1,"3,400",,,2016-12-21T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-082A,41903,Will replace N-Sat 110.,356
JCSat 16 ,NR (12/16),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162,35786,35801,1.78E-04,0,1436.01,"4,500",,,2016-08-14T00:00,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-050A,41729,,227
JCSat 1B (JCSAT 5),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,128.03,35778,35794,1.90E-04,0.01,1436.09,"2,982","1,308","5,200",1997-12-02T00:00,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067,Ku-band; voice and video communications to Asian Pacific countries and Hawaii.,336
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,154,35788,35794,7.12E-05,0.01,1436.1,"2,500","1,460","3,500",2002-03-29T00:00,11 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.",88
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,123.85,33782,37768,0.047289121,0.07,1435.52,"2,900","1,230","5,200",1999-02-15T00:00,14.5 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.",46
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,132.04,35776,35797,2.49E-04,0.01,1436.1,"4,400",,,2006-04-12T00:00,12 yrs.,Lockheed Martin Commercial Space Systems,USA,Sea Launch Odyssey,Zenit 3SL,2006-010A,29045,"C-band, Ku-band, and S-band transponders.",102
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,142.49,35780,35794,1.66E-04,0.04,1436.12,"4,000",,,2009-08-21T00:00,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755,Backup for other JCSATs.,233
Jilin 1-3 (Lingqiao 3),NR (9/17),China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,544,9.41E-04,95.4,97.54,400,,,2017-01-09T00:00,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002B,41914,High resolution earth-imaging. First commercial satellite for earth observation in China.,9
"Jilin 1-A (Lingqiao Satellite, LQSat)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,0,640,663,0.001637827,98.04,97.77,55,,,2015-10-07T00:00,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958,Technology development in earth imaging.,280
"Jilin-1 (Lingqiao-A, Lingqiao Video A)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,664,0.001780246,98.04,97.75,95,,,2015-10-07T00:00,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959,High resolution video imaging.,280
"Jilin-1 (Lingqiao-B, Lingqiao Video B)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,663,0.001709158,98.04,97.74,95,,,2015-10-07T00:00,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960,High resolution video imaging.,280
"Jilin-1-1 (Optical A, Lingqiao 1)",NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,638,662,0.001709402,98.05,97.73,400,,,2015-10-07T00:00,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961,High resolution earth-imaging. First commercial satellite for earth observation in China.,280
