"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Total men and women";"Younger than 20 years ";"1991";"      35";"      33";"       2";"       0";"       0";"      17";"       0";"       9";"       1";"       5";"       3";"       0";"       6";"       0";"       8";"       1";"      20";"     0.9";"     0.9";"    21.4";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1992";"      38";"      38";"       0";"       0";"       0";"      14";"       1";"      13";"       0";"       4";"       6";"       0";"      15";"       0";"       6";"       2";"      15";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1993";"      48";"      48";"       0";"       0";"       0";"      15";"       6";"      16";"       0";"       7";"       4";"       0";"      13";"       1";"       7";"       5";"      22";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1994";"      37";"      37";"       0";"       0";"       0";"      20";"       3";"      10";"       2";"       1";"       1";"       0";"      15";"       0";"       6";"       3";"      13";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1995";"      38";"      38";"       0";"       0";"       0";"      14";"       6";"       9";"       0";"       6";"       3";"       0";"       8";"       1";"       9";"       6";"      14";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1996";"      42";"      42";"       0";"       0";"       0";"      18";"       3";"      10";"       1";"       8";"       2";"       0";"      11";"       1";"       8";"       5";"      17";"     1.1";"     1.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1997";"      56";"      56";"       0";"       0";"       0";"      22";"       1";"      17";"       2";"       7";"       6";"       1";"      19";"       2";"      10";"       3";"      22";"     1.5";"     1.5";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1998";"      49";"      48";"       1";"       0";"       0";"      26";"       1";"      10";"       2";"       5";"       5";"       0";"      15";"       1";"      10";"      11";"      12";"     1.3";"     1.3";"    26.7";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1999";"      54";"      52";"       2";"       0";"       0";"      28";"       2";"      12";"       3";"       8";"       1";"       0";"      19";"       0";"       9";"       7";"      19";"     1.4";"     1.3";"    53.5";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2000";"      48";"      48";"       0";"       0";"       0";"      31";"       0";"      10";"       3";"       2";"       2";"       0";"      10";"       1";"      12";"       3";"      22";"     1.2";"     1.2";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2001";"      36";"      36";"       0";"       0";"       0";"      14";"       2";"      11";"       2";"       4";"       3";"       0";"      12";"       0";"       6";"       4";"      14";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2002";"      45";"      45";"       0";"       0";"       0";"      25";"       3";"      11";"       0";"       4";"       2";"       0";"      18";"       0";"      10";"       7";"      10";"     1.1";"     1.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2003";"      34";"      34";"       0";"       0";"       0";"      15";"       1";"      11";"       1";"       3";"       3";"       0";"      10";"       0";"       4";"       3";"      17";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2004";"      41";"      41";"       0";"       0";"       0";"      24";"       1";"       7";"       0";"       6";"       3";"       0";"      15";"       1";"       6";"       4";"      15";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2005";"      51";"      51";"       0";"       0";"       0";"      26";"       2";"      18";"       0";"       5";"       0";"       0";"      15";"       0";"       7";"       6";"      23";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2006";"      48";"      48";"       0";"       0";"       0";"      21";"       2";"      14";"       1";"       7";"       3";"       0";"      24";"       1";"      11";"       3";"       9";"     1.2";"     1.2";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2007";"      42";"      42";"       0";"       0";"       0";"      20";"       0";"      14";"       1";"       6";"       1";"       0";"      11";"       0";"       9";"       5";"      17";"     1.1";"     1.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2008";"      34";"      34";"       0";"       0";"       0";"      16";"       0";"      11";"       1";"       4";"       2";"       0";"      17";"       0";"       6";"       2";"       9";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2009";"      52";"      52";"       0";"       0";"       0";"      22";"       2";"      20";"       1";"       4";"       3";"       0";"      19";"       1";"      11";"       1";"      20";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2010";"      55";"      55";"       0";"       0";"       0";"      26";"       0";"      19";"       1";"       6";"       3";"       0";"      17";"       0";"      10";"       1";"      27";"     1.4";"     1.4";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2011";"      44";"      44";"       0";"       0";"       0";"      15";"       0";"      20";"       0";"       6";"       3";"       0";"      16";"       0";"       7";"       2";"      19";"     1.1";"     1.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2012";"      51";"      51";"       0";"       0";"       0";"      22";"       2";"      22";"       1";"       0";"       4";"       0";"      22";"       1";"       5";"       5";"      18";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2013";"      58";"      58";"       0";"       0";"       0";"      32";"       1";"      20";"       1";"       1";"       3";"       0";"      37";"       0";"       4";"       2";"      15";"     1.5";"     1.5";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2014";"      55";"      54";"       1";"       0";"       0";"      26";"       4";"      18";"       0";"       4";"       3";"       0";"      23";"       1";"       4";"       3";"      24";"     1.4";"     1.4";"   145.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2015";"      48";"      48";"       0";"       0";"       0";"      17";"       1";"      23";"       2";"       3";"       2";"       0";"      23";"       1";"       5";"       0";"      19";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2016";"      48";"      48";"       0";"       0";"       0";"      23";"       2";"      19";"       2";"       1";"       1";"       0";"      32";"       2";"       2";"       1";"      11";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2017";"      81";"      81";"       0";"       0";"       0";"      48";"       3";"      23";"       0";"       3";"       4";"       0";"      42";"       1";"       6";"       6";"      26";"     2.1";"     2.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2018";"      51";"      51";"       0";"       0";"       0";"      30";"       3";"      11";"       2";"       3";"       2";"       0";"      33";"       0";"       3";"       1";"      14";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"2019*";"      67";"      67";"       0";"       0";"       0";"      32";"       2";"      20";"       0";"       8";"       5";"       0";"      39";"       1";"       9";"       3";"      15";"     1.8";"     1.8";"     0.0";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1950";"      51";"      38";"      13";"       0";"       0";"      20";"       4";"";"       3";"       3";"      17";"       4";"      24";"       2";"       1";"       3";"      21";"     3.2";"     3.9";"     2.1";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1951";"      49";"      37";"      12";"       0";"       0";"      15";"       4";"";"       7";"       1";"      18";"       4";"       0";"       0";"       0";"       0";"      49";"     3.1";"     3.9";"     1.9";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1952";"      55";"      42";"      13";"       0";"       0";"      17";"       3";"";"       9";"       0";"      23";"       3";"       0";"       0";"       0";"       0";"      55";"     3.5";"     4.5";"     2.1";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1953";"      44";"      38";"       6";"       0";"       0";"      11";"       3";"";"       6";"       1";"      19";"       4";"       0";"       0";"       0";"       0";"      44";"     2.8";"     4.1";"     0.9";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1954";"      52";"      47";"       5";"       0";"       0";"      16";"       5";"";"       5";"       0";"      23";"       3";"       0";"       0";"       0";"       0";"      52";"     3.3";"     5.2";"     0.8";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1955";"      53";"      41";"      10";"       0";"       2";"      21";"       3";"";"       4";"       1";"      18";"       6";"      25";"       1";"       4";"       0";"      23";"     3.4";"     4.6";"     1.5";"     0.0";"    36.1"
"Total men and women";"20 to 29 years";"1956";"      47";"      32";"      14";"       0";"       1";"      20";"       2";"";"       5";"       2";"      15";"       3";"       0";"       0";"       0";"       0";"      47";"     3.0";"     3.6";"     2.1";"     0.0";"    18.4"
"Total men and women";"20 to 29 years";"1957";"      49";"      32";"      14";"       0";"       3";"      16";"       2";"";"       7";"       1";"      18";"       5";"      14";"       3";"       3";"       4";"      25";"     3.1";"     3.7";"     2.0";"     0.0";"    55.8"
"Total men and women";"20 to 29 years";"1958";"      56";"      40";"      13";"       0";"       3";"      12";"       2";"";"      14";"       1";"      19";"       8";"       0";"       0";"       0";"       0";"      56";"     3.6";"     4.7";"     1.8";"     0.0";"    56.6"
"Total men and women";"20 to 29 years";"1959";"      45";"      35";"       9";"       0";"       1";"       9";"       4";"";"       7";"       2";"      19";"       4";"       0";"       0";"       0";"       0";"      45";"     2.9";"     4.2";"     1.2";"     0.0";"    18.7"
"Total men and women";"20 to 29 years";"1960";"      53";"      39";"      14";"       0";"       0";"      13";"       7";"";"       8";"       2";"      17";"       6";"       0";"       0";"       0";"       0";"      53";"     3.4";"     4.7";"     1.9";"     0.0";"     0.0"
"Total men and women";"20 to 29 years";"1961";"      67";"      51";"      15";"       0";"       1";"      12";"       5";"";"      13";"       5";"      25";"       7";"       0";"       0";"       0";"       0";"      67";"     4.2";"     6.1";"     2.0";"     0.0";"    18.4"
"Total men and women";"20 to 29 years";"1962";"      58";"      40";"      17";"       0";"       1";"      16";"       9";"";"       7";"       1";"      19";"       6";"      24";"       4";"       4";"       5";"      21";"     3.6";"     4.8";"     2.2";"     0.0";"    17.2"
