id,unit,name,start,end,agency,acres,cause
BDU-8776,Los Angeles,Oasis Inc.,09-14-2002,09-14-2002,CC,1305,Under Invest.
BDU-8776,Los Angeles,Oasis Inc.,09-14-2002,09-14-2002,CC,1305,Under Invest.
MEU-7499,Mendocino,Burns,09-19-2002,09-20-2002,CDF,485,Undetermined
MEU-7499,Mendocino,Burns,09-19-2002,09-20-2002,CDF,485,Undetermined
BDU-9244,Los Angeles,Williams,09-22-2002,10-07-2002,CC,38094,Under Invest.
BDU-9244,Los Angeles,Williams,09-22-2002,10-07-2002,CC,38094,Under Invest.
SCU-4160,Santa Clara,Croy,09-23-2002,09-28-2002,CDF,3127,Elec. Power
SCU-4160,Santa Clara,Croy,09-23-2002,09-28-2002,CDF,3127,Elec. Power
BDU-9108,Inyo,Paiute,09-24-2002,09-24-2002,USFS,391,Human
BDU-9108,Inyo,Paiute,09-24-2002,09-24-2002,USFS,391,Human
LMU-3269,Lassen,Cone,09-26-2002,09-30-2002,USFS,2006,Under Invest.
LNU-8020,Yolo,Sixteen,10-01-2002,10-02-2002,CDF,1500,Undetermined
TGU-6124,Tehama,,10-01-2002,10-01-2002,CDF,300,Vehicle
TCU-9171,Calaveras,Sourgrass Complex,11-25-2002,11-30-2002,CDF,635,Debris Burning
SNF-1576,Madera,Rock Creek 2,11-25-2002,11-27-2002,USFS,415,
AEU-18819,El Dorado,Plum,11-26-2002,11-28-2002,USFS,1765,
BDU-1061,Los Angeles,Assist (Pacific),01-06-2003,01-07-2003,CC,1300,n/a
RRU-15024,Riverside,Local,02-23-2003,02-23-2003,Local,12000,Escape
BDU-3731,Mono,Lundy,04-24-2003,04-26-2003,Local,600,n/a
TUU-4174,Tulare,Delima,05-03-2003,05-03-2003,Local,3000,Misc.
BEU-1514,San Benito,New Idria/Griswold,05-18-2003,05-18-2003,USFS,628,Vehicle
FKU-6009,Fresno,FKU-6009,05-28-2003,05-28-2003,Local,1000,Smoking
SCU-1735,Stanislaus,Del Puerto Cyn.,05-29-2003,06-01-2003,CDF,597,Equip. Use
SCU-1791,San Joaquin,Bird,06-01-2003,06-01-2003,CDF,6804,Equip. Use
MMU-9021,Merced,Fish (McNamera),06-02-2003,06-02-2003,Local,650,Debris Burning
MMU-9232,Merced,SNF Assist (165),06-05-2003,06-10-2003,USFS,300,n/a
TUU-5638,Kern,Shallock,06-06-2003,06-06-2003,CC,564,vehicle
TGU-3255,Tehama,Gyle,06-10-2003,06-10-2003,Local,300,Equip. Use
MMU-9901,Merced,152,06-15-2003,06-16-2003,CDF,1558,Munition
TUU-6106,Kern,Caliente,06-16-2003,06-17-2003,CC,1223,n/a
