"group","yfield","xfield"
"Netherlands",2339,1662
"U.S.A.",0,1662
"Denmark/Baltic",0,1662
"Portugal",10269,1663
"Great Britain",3059,1663
"France",0,1663
"Spain",0,1663
"Netherlands",3618,1663
"U.S.A.",0,1663
"Denmark/Baltic",0,1663
"Portugal",9306,1664
"Great Britain",11534,1664
"France",351,1664
"Spain",0,1664
"Netherlands",5260,1664
"U.S.A.",0,1664
"Denmark/Baltic",0,1664
"Portugal",9306,1665
"Great Britain",10223,1665
"France",0,1665
"Spain",0,1665
"Netherlands",2635,1665
"U.S.A.",0,1665
"Denmark/Baltic",0,1665
"Portugal",12825,1666
"Great Britain",7602,1666
"France",702,1666
"Spain",0,1666
"Netherlands",1492,1666
"U.S.A.",0,1666
"Denmark/Baltic",0,1666
"Portugal",12956,1667
"Great Britain",4061,1667
"France",351,1667
"Spain",0,1667
